epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8843,1.56717,2.77214,2.0227,0.00333,1,0.68696,0.24225,0.9609,3.38725,1.90546,4e-05,4e-05,4e-05
2,20.9534,1.33071,2.54902,1.86597,0.00333,1,0.995,0.48892,0.96602,3.30117,1.81968,9.802e-05,9.802e-05,9.802e-05
3,30.7508,1.20141,2.23774,1.65932,0.00333,1,0.995,0.59405,1.001,3.21942,1.7131,0.000153664,0.000153664,0.000153664
4,39.6908,1.08621,1.64435,1.51736,0.00333,1,0.995,0.63995,0.908,3.09792,1.65889,0.000206932,0.000206932,0.000206932
5,48.4322,1.18688,1.37508,1.59251,0.00333,1,0.995,0.34379,1.43733,3.37649,2.24831,0.000257824,0.000257824,0.000257824
6,57.4678,1.17617,1.16773,1.51921,0.00333,1,0.96167,0.5855,0.91001,3.09196,1.80244,0.00030634,0.00030634,0.00030634
7,66.1985,1.04705,1.13881,1.43024,0.00333,1,0.995,0.63747,0.98142,2.95367,1.71025,0.00035248,0.00035248,0.00035248
8,74.8294,0.98158,1.17644,1.40643,0.98233,1,0.995,0.65448,1.11952,2.56456,1.948,0.000396244,0.000396244,0.000396244
9,83.7746,1.05069,1.11524,1.47186,0.98273,1,0.995,0.61104,1.15785,2.55444,2.16427,0.000437632,0.000437632,0.000437632
10,92.3054,1.11934,1.24036,1.56057,0.95593,1,0.995,0.57031,1.14771,2.65244,2.15436,0.000476644,0.000476644,0.000476644
11,100.859,1.11283,1.12216,1.46322,0.93055,1,0.995,0.60697,1.21577,2.61921,2.1955,0.00051328,0.00051328,0.00051328
12,109.638,1.14135,1.14078,1.48189,1,0.98085,0.995,0.61563,1.11592,2.5293,2.0881,0.00054754,0.00054754,0.00054754
13,118.55,1.00154,1.36331,1.45095,0.99266,1,0.995,0.64577,1.22225,2.23351,2.55861,0.000579424,0.000579424,0.000579424
14,127.406,1.01334,1.10034,1.41342,0.99285,1,0.995,0.63695,1.2591,2.12843,2.67601,0.000608932,0.000608932,0.000608932
15,136.337,0.95857,1.03274,1.37365,0.98513,1,0.995,0.66873,1.20732,2.52168,2.56081,0.000636064,0.000636064,0.000636064
16,144.904,1.0332,1.13064,1.47103,0.97957,1,0.995,0.66087,1.20299,2.53193,2.49161,0.00066082,0.00066082,0.00066082
17,153.624,0.97712,1.00967,1.35188,0.98908,1,0.995,0.6697,1.21522,2.34919,2.60134,0.0006832,0.0006832,0.0006832
18,162.108,1.05,1.10669,1.44131,0.99065,1,0.995,0.62809,1.33928,2.37863,2.61986,0.000703204,0.000703204,0.000703204
19,170.626,1.04861,0.98586,1.36131,1,0.99557,0.995,0.57148,1.23267,2.63819,2.52964,0.000720832,0.000720832,0.000720832
20,179.358,1.02217,0.98382,1.52489,0.97428,1,0.995,0.58717,1.31769,2.42662,2.45133,0.000736084,0.000736084,0.000736084
21,187.924,1.03158,0.97856,1.42637,0.96924,1,0.995,0.5653,1.29568,2.33005,2.25478,0.00074896,0.00074896,0.00074896
22,196.467,1.09768,0.99281,1.50404,0.97787,1,0.995,0.59308,1.30379,2.20078,2.17498,0.00075946,0.00075946,0.00075946
23,204.932,1.09951,1.04423,1.37903,0.96805,1,0.995,0.62387,1.24935,2.16494,2.11398,0.000767584,0.000767584,0.000767584
24,213.36,1.00881,0.97182,1.41254,0.98463,1,0.995,0.591,1.29383,2.02436,2.17853,0.000773332,0.000773332,0.000773332
25,222.087,1.06019,1.04757,1.5538,0.98546,1,0.995,0.61601,1.31907,1.94934,2.25662,0.000776704,0.000776704,0.000776704
26,230.699,0.9464,0.87379,1.40214,0.98759,1,0.995,0.61216,1.31995,1.84226,2.27381,0.0007777,0.0007777,0.0007777
27,239.168,1.10482,1.26541,1.62178,0.99129,1,0.995,0.60942,1.34674,1.80961,2.26285,0.00077632,0.00077632,0.00077632
28,247.564,1.01307,0.97417,1.3682,0.99211,1,0.995,0.57675,1.46981,1.75983,2.42084,0.000772564,0.000772564,0.000772564
29,255.973,0.98125,0.92933,1.41491,0.99211,1,0.995,0.57675,1.46981,1.75983,2.42084,0.000766432,0.000766432,0.000766432
30,264.497,0.99305,0.91118,1.37975,0.99232,1,0.995,0.61382,1.29299,1.60363,2.37582,0.000757924,0.000757924,0.000757924
31,273.022,1.02965,0.96852,1.34225,0.99315,1,0.995,0.65711,1.28786,1.48138,2.48287,0.00074704,0.00074704,0.00074704
